id_transacao,data_venda,usuario_id,vinho_id,nome_vinho,tipo_vinho,pais_origem,regiao_vinho,safra,preco_unitario,quantidade,valor_linha,canal_venda,uf_cliente,cidade_cliente,segmento_cliente,forma_pagamento,nota_giulio,dias_desde_cadastro,qtd_pedidos_anteriores,qtd_favoritos,frete_gratis,mes_venda,dia_semana,idade_safra_anos,venda_sucesso
260,2024-11-10,7,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Instagram,DF,Brasilia,Premium,Cartao Debito,4,668,2,3,0,11,Segunda,8,1
261,2024-10-08,27,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Marketplace Parceiro,PE,Recife,Recorrente,PIX,4,314,8,2,0,10,Quarta,7,1
262,2025-01-24,27,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Site Vinheria,PE,Recife,Recorrente,PIX,4,314,8,2,0,1,Sabado,7,1
263,2024-12-28,7,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Site Vinheria,DF,Brasilia,Premium,Boleto,5,668,2,3,1,12,Domingo,11,1
264,2024-06-05,17,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,2,1120.00,Evento Degustacao,BA,Salvador,Premium,PIX,5,173,14,5,1,6,Quarta,12,1
265,2025-05-20,23,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,3,540.00,Marketplace Parceiro,PR,Curitiba,Premium,Boleto,4,243,16,5,1,5,Terca,6,1
266,2025-01-05,17,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,Evento Degustacao,BA,Salvador,Premium,PIX,3,173,14,5,0,1,Segunda,4,1
267,2024-01-30,4,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,2,1560.00,Marketplace Parceiro,RS,Gramado,Premium,Boleto,5,815,11,1,1,1,Quarta,9,1
268,2024-12-15,10,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,Marketplace Parceiro,SP,Sao Paulo,Novo,Boleto,5,899,0,5,1,12,Segunda,10,0
269,2024-09-26,26,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Marketplace Parceiro,BA,Salvador,Premium,Cartao Credito,5,506,20,3,1,9,Quinta,9,1
270,2025-02-12,28,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,WhatsApp Giulio,SP,Sao Paulo,Recorrente,Cartao Debito,5,592,2,2,1,2,Quinta,10,1
271,2024-11-21,17,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Marketplace Parceiro,BA,Salvador,Premium,Cartao Debito,4,173,14,5,1,11,Sexta,7,1
272,2024-05-17,10,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Evento Degustacao,SP,Sao Paulo,Novo,Cartao Debito,4,899,0,5,0,5,Sexta,8,0
273,2024-10-01,28,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,4,1680.00,Evento Degustacao,SP,Sao Paulo,Recorrente,Cartao Debito,4,592,2,2,1,10,Terca,7,1
274,2024-09-13,25,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Site Vinheria,DF,Brasilia,Corporativo,Cartao Debito,5,293,20,5,1,9,Sexta,11,1
275,2024-10-28,21,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,2,360.00,Marketplace Parceiro,MG,Belo Horizonte,Recorrente,Boleto,4,347,6,3,0,10,Terca,6,1
276,2024-04-10,15,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,1,890.00,Instagram,SC,Florianopolis,Novo,Cartao Debito,5,63,0,5,1,4,Quarta,10,0
277,2024-08-29,11,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Site Vinheria,RJ,Rio de Janeiro,Premium,Cartao Debito,5,518,19,3,1,8,Quinta,11,1
278,2024-03-16,7,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,3,930.00,WhatsApp Giulio,DF,Brasilia,Premium,PIX,4,668,2,3,1,3,Domingo,8,0
279,2024-09-09,16,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,3,2670.00,Site Vinheria,DF,Brasilia,Recorrente,Cartao Credito,5,85,24,2,1,9,Segunda,10,1
280,2024-10-19,2,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,Marketplace Parceiro,RJ,Niteroi,Recorrente,Boleto,3,343,5,5,0,10,Domingo,4,1
